audio,transcript
test_sample_3308_noisy,يجي بق بيطلعلك لكام في الشهر إنتي وجوزك بق
test_sample_1532_clean, إزاي هياخد 
test_sample_1229_clean,خلاص خلاص إبقوا ملتش حاج
test_sample_3300_noisy,هما في حدث بدون فيذه زي حدث بفيذه هو مبياخد منك ي رقم الفيزه بس ما مبيحصبش منها حاجه يعني في حدث اللي هو إيه بيقولك إن إنت لما تيجي عندي بأرفع ففي عادي متخافش أنا لما حطتك متخصلوش أي حاجه
test_sample_3748_noisy,الحب ده حاجه أنا بخلص بق كل شغل ي أولا
test_sample_3271_noisy,بيلعب اللهلي صبح
test_sample_3828_noisy,من الست دي كده يا الصلا عل النبي الله بسم الله الرحمن رحم خلي باك ورجالك تن زيك
test_sample_3446_noisy,عازينها بق الغزير الع
test_sample_3302_noisy,
test_sample_3071_noisy,
test_sample_976_clean,لكن ت تفدي الوجه الله أو حدي سيده الآخرين يعيروه لكن جرتب بس ت بتعملي الشلب زي دي هتعمل كن بوخق مياه أتلبت عمه بيض وافق ميات  إنت
test_sample_3063_noisy,كام ما إنت لازم تاخدهم بإذنهم مش مزاج
test_sample_3033_noisy,ضعالفران ونهاي ودعولنا بالبركه و إن شاء الله لو استفدت من الحلقه دن إنسا تمتخلش علينا
test_sample_1528_clean,خلاص أنا بتكلم عل إن أي أي ريس يجي و وو لا يوفي بالوعود اللي أنا انتخدته عل أساسها ولا انتخدت الدكتور مرسي ليه أنا أعرفه
test_sample_3251_noisy,و ده أنا قولتلهم يغرفوني علبه من غير خلطه خالص من دي التحوي ده خالص
test_sample_1352_clean,تكي أعني المرأص بصي المرأه السعديه يه يا أستاذ مون فجراسي من فوق دي أمي وعمتي وخالتي وأختي
test_sample_1468_clean,دهب ألا ما فوش الدن بتاعه أنيه يعني إحنا أو نخش مغلض بط نبوت بطلا تدينا وناخده بانه إمامه تع الضه مش عر حد ب الضب نعنا وخش عللان عليها نهاره من غير حاجه كده
test_sample_1075_clean,فكن بينما مثلا كان فيه شويه برضو بيقعدوا يقولا بالنركال به هو
test_sample_3081_noisy,هو هو الضربه الأول هو باسم الست الوالده برضو هو جسم السجروند مش بإسمع
test_sample_3813_noisy,قاله ه أنا محمود
test_sample_3739_noisy,إيه اللي بيفع
test_sample_2936_noisy,يعيني عين عل الحلاويات و المسويات و الأققايب والنطايب
test_sample_1181_clean,لأ هي أما البيضه النضيفه ده هيل نعم يبق معلهاش خباء
test_sample_3620_noisy,تمام بس إنت الأفضل إن هما يتابعوا معاك بالذات لو إنت مبتعرفش لغه هيبعتولك عل إميله هتاخد بق الإيميل كوبي بست وتروح علق إيه عل جوده للبرنسليشن هترجن هتبدأ تفهم هيبق الموضوع سهل بالنسبالك عاوز تتواصل معاهم بيلديك رقم الواتصاب بتاع
test_sample_1486_clean,جاب منين
test_sample_3498_noisy,أتحملك مصوريتي
test_sample_3009_noisy,محمود
test_sample_3651_noisy,تمام طيب فيمد بنعمله في ناس بتسألفين بتعمله في و  في أماكن كتير و لكن هكلمك مثلا في في الأماكن اللي أنا أعرفها
test_sample_1517_clean,مبروك جعبه
test_sample_3451_noisy,ر
test_sample_3253_noisy,صعبيه طعميه بص ابصل بتاعنيعني
test_sample_1637_clean,علشان أكلع يطلع لفوق
test_sample_3015_noisy,
test_sample_3374_noisy,دي نعمل إيه بق ده بابا المجال يا جماعه عشان تعرفوا لما أقولكوا إن د باب المجال تصدقولي مع النسويات هتلاقيه مع الأسماك هتلاقيه مع الفول هتلاقيه بابا بابا و الله تعال بوص تعالو نروح نضرب وهنصر بابا
test_sample_3423_noisy,عشان كنت بفكر في البطات ي والمخ ت عايز أروحلها
test_sample_3785_noisy,مينا واحد الكدرين
test_sample_1678_clean,وجلبلق لجوازهج ان
test_sample_3552_noisy,تمام رقم الميف ده اللي هو الرقم الضريبي لما بتيجي تشتري أي حاجه أي حاجه
test_sample_1619_clean,ندو ا حنايبه جه بع حاجه  حاجه ن فاله حاجه كلها في حايه
test_sample_3221_noisy,خش لها من مين ولا مش شماليا
test_sample_1562_clean,إزاي بلها تيفي تتكلم أنا بتكلم عليه ريس كويس بيصلا ف غلط ريس بيصلف بشكل  مش مش مش عاجبني مش هتجقول مش عاجبنا يا عم أنا أنا أنا لوحدي مش عاجيبن
test_sample_3681_noisy,أنا بثل القديمه 
test_sample_3191_noisy,ي
test_sample_3771_noisy,يلا كنت مع ماز
test_sample_1415_clean,إم يعني لا يوصل للجمعه إلا بالمسادين في سيدني جينه
test_sample_1671_clean,أه هو ليه بق مقولناش فظلهم يخدوا و يلعبوا ومتاخده من تابل أه جسيده ماجي لا رغم إله و الله ليس لها علاقه
test_sample_3649_noisy,
test_sample_1259_clean,رايح اجيش
test_sample_3502_noisy,بس ف مش عارف أعمل إيه
test_sample_1100_clean,تمام
test_sample_1287_clean,أنا صاح لأ شكرا 
test_sample_3470_noisy,دهفول بالبيض يا جماعه سا مدوقتش من الناس باني حوالا لير دور الطعم يعني كواليتيوالتعم ده موضوع اسالك كبير يعني أنا
test_sample_1354_clean,يعني فعز ما أنا مريض طلعل إن أنا ميت إنت متعرفش يمكن نهل تقولك عل التليفونات اللي جت مغيلنا ومن الأنض
test_sample_2976_noisy,والفاتوره بتاعت كهبه أو الميه أو الرس كان بلدا الترجمهك وفقيت الأوراقبات التجمعيه إنت وانت جاي من بلدك تحطها في بلد كده
test_sample_3777_noisy,
test_sample_3205_noisy,مل شكل أقلب
test_sample_3494_noisy,إيه ده
test_sample_1339_clean,في الراجل بيتغزل في حبيبته وصل المسأله قبلغ و الشعه دي أجذبه طب
test_sample_3783_noisy,وبص لله كده ا ف
test_sample_3345_noisy, في في في بيطلبوا هنا عمال بناء إن إنت تبني يعني تبق كده أو إنت تبق صنايعي وتعرف تبني أو في بيتلبه
test_sample_1343_clean,أيوهوعجبا بليغ بليغ ده يعني برضو يعني العبان
test_sample_1087_clean,أنا كنت أعمل
test_sample_3860_noisy,و في مكان تاني في حته اسمها روسيو روسيه رسي ورصري و الله مفاجح هام يعني في المكتب ده حطه دلوقتي
test_sample_1509_clean,هند طباق وديامه و أنا والدت هنا جب جيب عندنا ول السمعه تبعد ديابا بيب واحد  ولد السبعه سبع ليا با مي عندنا الأوط
test_sample_1161_clean,مكنش جرق إنه دبدح شعبه مايكدرش فإحنا كل اللي بنتكلم فيه إن هذه الهذه الأرض بكل صلواتها بكل خيراتها بكل اللي فيها
test_sample_3514_noisy,عشان نراخم عليا وكلاف ساعات معاه
test_sample_3431_noisy,بص أخش عل الموفال بتاعك تلاقي كله
test_sample_1467_clean,مصر انتيابت يا نصر
test_sample_3347_noisy,ربنا يح
test_sample_3329_noisy,دي بتدعم الملاف بتاعت أنا بتعيقه لقينا كده ممكن أكون يعني قلت الحاجات اللي هي ممكن جديده
test_sample_1561_clean,عارف يا عم أنا وبعملك العمليه بلب كوبه في حوعلي تسعه و تلاتين سعنه كنت بموك معاك فيهم يا عم
test_sample_1250_clean,ل نا طعنا قدنا لا ا لا لا نا ا أنا معاشا الأمر كله بدانا جلب فين عمنها ماشا الحمد لله  كلاتين أبعين شنب معنهاش نا م عنلا لا لأ متعماش ا مصر
test_sample_1490_clean,بلدك ما يرضع والد عمك ما يرض إرضع تردي هيبع دما تجون لجياب سو
test_sample_3362_noisy,خمستاشر 
test_sample_1677_clean,الحج صحبق اخميد هيتجوز عليا الراجل الكبيري دهل ده بيغسل وشه مرتين في اليوم اللي كان بنا في دنفي
test_sample_1028_clean,أنا بقول اشاعه بسولتي إم
test_sample_3689_noisy,حزبن ممكن يكون فاتح أ في شغل ممكن يكون كوفي شوف بس ممكن
test_sample_3570_noisy,ومعالش بيا معايا أربع بنه و كل واحده باتي
test_sample_3174_noisy,له الله الله الله صو بالعالج والعل عل
test_sample_3751_noisy,لأ معرفش يقولا
test_sample_3842_noisy,لا إما يكون معاه باما يا إما يكون معايا نساي وعل فكره
test_sample_3372_noisy,
test_sample_3055_noisy,أزور أول يوم الأماكن اللي هي السياحيه اللي عندهم قلنا هنعمل سرش هاقتك كل يوم ماكان  المكان ده
test_sample_3733_noisy,بيت من غير عشه
test_sample_3133_noisy,الناس اللي فاتحه من زمان
test_sample_3775_noisy,بس ده هيروز يعني تكون محبث الحمام لأن الطريقه دنيا هتوافد عشان حام هيخش جيت ا
test_sample_3154_noisy,لجي داخل عل الميه بيقوم ي دن دن دي ن دين دي إن دنت هيصرب و هيبق تمام كمام
test_sample_3589_noisy,و أن نفس الكلام تاجر النهارده يبق عايز كده لما يلاقي حاجه نقطه هيشتريها غير كده إنسن إن هو ياخد حاجه فإذا من حيث الهويه اللي قعدت دل هوء قليل لحد دلوقتي
test_sample_3657_noisy,مش عايز أشفر البتغان وعايز أعمل أوراق زي ما في ناس كتير بتيجي بتاع بيشتروا عقده حقيقيه طب بالعقدل ده موكان الحقيقي
test_sample_3675_noisy,يبق هعمل حجز فنده تاني في ميلانه بتاريخ خمسه مو أنا مش هنام في الشارع فهعمل حجز تاني بتاريخ خمسه
test_sample_994_clean,إحنا هنهجم عل إيهل الساعه اتنين ليبتلات السرعيل دول إيه ي رأيك
test_sample_3872_noisy,صلاحبص هنا استانيه صاحبتي فعرت ستلك عسن روسك وحصلك في جمعتك
test_sample_1460_clean,حشدوني 
test_sample_3058_noisy,مش كده بس هوجه نظري يعني كل واحد ديه وجه نظري
test_sample_1111_clean,لتعت العال تعتلط
test_sample_3574_noisy,تجار الليلنا النارده أكباره ديه النار التجار اللم كلهم بالااستثناء و لا واحد نزل معاش يقول الواحد بس تجر اللم كلهم بلا استثناء ولا حد نزل مكنشمل واحد بس لي هين
test_sample_1318_clean,أول إنسان قبقبل سيسي سيسي قبلني أنا أول مره أول حد يقابله سيسي من فريدا قبل ما يبق ريس الحمد لليه
test_sample_3057_noisy,عشان نعرف بس إحلا نقفاين كده
test_sample_3503_noisy,ليكو حق ليكو حق الناس تبق ا عامله عندكو
test_sample_1564_clean,و ماءما تعرف إن ناجبنا شبس فكريني وإنتي نازله فكريني و إحنا نازلينا بجاجبلك بكره بيبسي
test_sample_1203_clean,بن تأخوه
test_sample_1006_clean,في يوم عادي يروح يوم الجمعه يروح يخطب للمسهدي
test_sample_2935_noisy,بعدن أد من طبين إن شاء الله
test_sample_1609_clean,ليه ميش متوارض
test_sample_997_clean,تدع بتلع
test_sample_3336_noisy,لأ الجوبنيه تانيه
test_sample_3475_noisy,أنا عاشه إن أنا بسور أوكسن
test_sample_1213_clean,مش عارف اكلام المفروض يتجال و لا كلام المفروض اللي هو م ميتجلش بس إحنا كان السكه مفتوحه أملنا لو عايزين ندخل و لا القصر كنا حضرتك
test_sample_2993_noisy,لا تنتان ينفع
test_sample_989_clean,بيقول صوتك في صوتي أحل صوت إنسان
test_sample_3654_noisy, إنتي سفه بالإيجار
test_sample_1113_clean,حضرتك إحنا هنبعتلك مشي 
test_sample_3165_noisy,يه سواء الفن عل السأيامين اللي زايح حالاتي اللي صحين الصبح أنا صاحي الساعه خمسه أو خمسه ونص مثلا
test_sample_1191_clean,فا اللحنا فيه ده يعني إلي لما جينا القن دلوقتي
test_sample_1196_clean,أيوه أناب كنت همشي أنا جي هشتلك الأكل ف لما البتيجاه
test_sample_1024_clean,ولما أتكلم  ما أكلم أصدقاي من جماع الإخوان المسلمين يوو ما إحنا لو قولنا محدش ههيصدجنا طب يعني إنت لو قلت معنديش هيصديقك يعني إيه
test_sample_3417_noisy,ولا لاف إزقك يا ولدي بسما الرحم عبد الرحم
test_sample_3353_noisy,لك
test_sample_3298_noisy,عشان هو بيطير الأكل لأنه
test_sample_3691_noisy,بس قبل ما تحط الأورار بتاعتك لازم تقول الأورام بتاعتك الكامله  البزر دبق الروح و أول ما  هو الركو المحطه وأصورك و المكتب و ربنا لعال بق في الزح سنهشر
test_sample_3212_noisy,لعيس ده عايش أنا بوكيه معرفش صن دول يس جيل يعني
test_sample_3389_noisy,قولولك إيه
test_sample_1039_clean,لهي مين أنا حفرو
test_sample_3723_noisy,أه أ
test_sample_1215_clean,م صح أه
test_sample_3118_noisy,برافض ي د
test_sample_3683_noisy,إنتب بالكلام ده للي أنا قولته بمرض الله عشان أسألك ربنا عليه أسمعه أشوف في التليفزيون
test_sample_987_clean,لا أكتر إنت بيقول لل
test_sample_1332_clean,الترده وحش وح وحش عزاب مرانه
test_sample_3719_noisy,المكان اللي حصلت فيه طبعا هيكون في مكان إيه مكشوف كده عند الطلعه الكبيره للمرضي كد
test_sample_1317_clean,إحنا أصضاء الفتره  المدينه
test_sample_3334_noisy,مرادي حاجه ضخمه
test_sample_3011_noisy,موضوع
test_sample_1400_clean,خلينا ليس السيف ذلك فيها طبعا
test_sample_1530_clean,يعني إحنا رايحين بنحارب جبنا نيستو وكنا معفنين معلش 
test_sample_3622_noisy,لأ الرد اللي بياخد مع
test_sample_3862_noisy,طيب عايزين بس نأكد إن هو
test_sample_1485_clean,دكمكنلشعر رضان
test_sample_3153_noisy,كله كللا بيبق ليها اختبار أبول وبيبق مش سهل قبل
test_sample_3493_noisy,
test_sample_3275_noisy, لا لا لالا
test_sample_3444_noisy,ربنا يسامقك عل الفضيوح
test_sample_1478_clean,سفي حب للغنا بحب في
test_sample_3180_noisy,طيب اهنا بيعب أ العيش العيش
test_sample_3224_noisy,بتاخدها معاك و إنت رايح الموعد بتاعك في اللي بتحكدنك بتاخد بق معاك كل الأوراق دي اللي انت قدمتها في الأول خالص اللي إحنا قولناه النفول و السوشيال لسوشيال والشنطه
test_sample_3794_noisy,وا كسب التسكيله
test_sample_1002_clean,يعني ريت تديني فرصه دي جيله كده هتكلم عل الست الصعيدين
test_sample_1239_clean,ميه له
test_sample_1294_clean,اي رعنا بعد ماعها بمن بجور واخد بالك ضربو واحد مننا في مصر هنا ورمحنا عشان نضرب واحد نبجورد وضوع البولدي الشعب وبق لأخوه اهندس جلا نا شيل الكبنو وخو وهو دخلال
test_sample_2926_noisy, النهارده حر البرتواني حق من عقد حر في المسترز تشتغل عند أي حاجه فالمحنه اللي إنت عاوزه بتقدر تعمل عاجه
test_sample_3782_noisy,غزل الفتات أحلامك تقولها إيه
test_sample_3910_noisy,واتجوصل  معايا واحده لشه سبعه فجه
test_sample_1316_clean,أنا كنت عايزه قلي حت شجف البندر أعملها عيادي
test_sample_3120_noisy,أنا يا باض
test_sample_3643_noisy,إن شاء الله يو مجامعين
test_sample_3791_noisy,إزاي الني بيزوقلي له دي معشايإي بق
test_sample_3685_noisy,و يطلع ا ال اللي إحنا تعبنا ده كله عل إيه عل حاجه فريده إن شاء الله وبنمسك الفت أو فهت عل فكره يا جماعه حاجه صطره جدا إحنا طبعا كنا المره اللي فات
test_sample_3805_noisy,م الوشم حلان عشان ندها من أيام أجهدنا الفرانه كانوا بيرفموا عل الأد
test_sample_1382_clean,اكبر
test_sample_3227_noisy,وهحطله عليه شوي إيه شوا ميه زي ما إنتو شايفين كده
test_sample_1617_clean,طمحمد اسمع كلام أبوه
test_sample_1441_clean,أربان هما هيلفوا عليك إنت روح البلد روح البلد قوم هو مالك وجاعيدن
test_sample_2927_noisy,يموت فيه أنا مش عايزه أكلمه عشان أنا هيموت فيها
test_sample_3892_noisy,أنا بوفر معاكي إحنا من سال لان
test_sample_2990_noisy,دي سمكه جميل جميلهه عشان ياكل طبعا و هتحط في الإيه هتقعد في إيه يا جماعه في المصوره
test_sample_3377_noisy,و كده هنا إيه ما افتارها إيه في المكان ده
test_sample_3815_noisy,قالتي لعبت أ
test_sample_991_clean,كنت معجب بيما جدا
test_sample_3786_noisy,ماركز معلومات مجلس الوزراء عملت استطلاعا رأيا عل رجاله المصريين لأ أربعه و أربعين في الميه من الرجاله المصريين عايزين يتجوزوا جوازه تانيه ياطر الليه عايزين يتجوزوا جرازه تانيه تعالا نشوف هيقولوا 
test_sample_3288_noisy,
test_sample_3738_noisy,بتروح بيها تقدر إن إنت تتعلم فيها اللغء و في الوقت اللي إنت عاوز حددلك مثلا معاد يقولك إنتورح هتبدأ بعد أسبوع بعد شهر بتاخد المعاد وبتسجل إسمك بالورقه اللي هو بيديهالك ديت مبتدفعش و لا ملين
test_sample_3497_noisy,
test_sample_1078_clean,لأنه كان بيجرد في المجلس العسكري و كان بيجول في حسن ببالط و كان بيمو
test_sample_1322_clean,أول حبه في حياتي  يمكن هل ما تعرفش
test_sample_2944_noisy,عدل العربيه الأول وحتم التاني جان هربيه بتعدم التالت أنا بشل عليا بقوله إيه الله عليك يا حبيبي ولا ديك
test_sample_1095_clean,
test_sample_1267_clean,اأنا روحت الديابه كتير و خلاقي النيبه كانوا جقاعدين معايا
test_sample_1311_clean,هبعايه ركب خلص البنعت ي
test_sample_3715_noisy,رك ليس لديها مانع من سفر
test_sample_1622_clean,للأسف يا مدام وقلعه كل طرده لازم يديبه حويتاكر جاب ليومين
test_sample_1361_clean,واللي ميعرفوش خلي بالك إم دول ميعرفوش الصيلات بتاع دول
test_sample_1363_clean,يصح
test_sample_1501_clean,تاني يوم بالعنف بتكثير الخير
test_sample_1591_clean,تبع
test_sample_3142_noisy,فالمهم قطعت من بلده روحت رومه قعدت خمس تيام قطعت حدس طيران داخلي من الطيران بتاعهم اللي هو طيران الإطاري بتاعهم
test_sample_1005_clean,صراحوا متجبش عليكم هل تبكم خبيره خالص
test_sample_3756_noisy,و الورقه اللي هي بتاعت الفدو اللي انت اسكنت فيها أول ما تيجي و التكيت بتاع طياره و واللهم صلح عل النبي مش متذكر كل الأوراق بس أنا أنا أي الفيديو يعني المهم
test_sample_3373_noisy,طب يلا بينا عس التانيه عشان
test_sample_1240_clean,في ناس كتير هجموا وكتبوا من من بعد ما ما ما الريس مرسي أصبح ريس علينا بأسبوعين وبتلات أسابيع أنا بتكلم بعد عشر تشهور أه وشايف إن أنا من حجي عجول
test_sample_1241_clean,ول عمري بعدي عليك
test_sample_3640_noisy,مظبوط أنلا
test_sample_3617_noisy,رغمته والعربي اللي هو دار الهجره اللي بيخدم الأجانب  وبيساعدهم في الأوراق وبيتابعلك الأورق بتاعك وبيتابعلك الملف بتاعك لو إنت هبتعرفش لغه بس لازم طبعا تكون بتكلم إنجليزي أو جورتوباري أو فرمساوي عشان يفهموك مبتعرفش تتكلم لازم تجيب حد معاك يتكلم تمام أنوت هو عند هو ده المكتب اللي أنا أو الجمعيه اللي بتساعد الناس في الأوراق
test_sample_1077_clean,صواح برضو عمل  عمل معاها غنا وحركه ولا زمان ي السلاحي
test_sample_3095_noisy,
test_sample_1614_clean,ل
test_sample_3021_noisy,ن حبين
test_sample_3665_noisy,أفريكيا
test_sample_3402_noisy,لأ خالص
test_sample_3156_noisy,الله
test_sample_1007_clean,لأ هي بالتعمي محمود ميكصرش
test_sample_1586_clean,يأنا مسامحاني إنتي إخواتك البناعت يا دكتوره
test_sample_3830_noisy,
test_sample_1222_clean,مايسب عل
test_sample_1438_clean,لأ إنت كويس
test_sample_3186_noisy,أهم حاجه زي ما قولتكوا يا جماع تحاذروا لو معاها الجونتي يلبس بونتي عشان ده سني قوي جدا جدا جدا
test_sample_3320_noisy,تدعور ناسه
test_sample_3737_noisy,هنانتكلم يا جماعه دلوقتي عن الفراق و إي السبب إن الفران بتيجي في المكان
test_sample_2988_noisy,لكن أجيبلها ليا أنا هستراد إيه من مواها
test_sample_1336_clean,ينا
test_sample_2954_noisy,كنش موجود في امتخب
test_sample_3199_noisy,مشي أستنه بق يا عن إنت
test_sample_1308_clean,دي يا رهاب
test_sample_1106_clean,أحفظ الأسماء والحكام إسترحل تشدتنا عل يجدكم وكل الناس تتكتل ملأت فكرنا كزبا وتزويرا وتحليفا أتجمع ل يد الله وتبعدلا يدنفيفه هجرنا
test_sample_1346_clean,إهاللي جابك إيه لأ هو تعالوا  نا علط
test_sample_1444_clean,وايفاي يا عني خلي يولا دخيص مع
test_sample_2958_noisy,كنسي كده ومن جوه تفتح
test_sample_1374_clean,عندي منرد جنبنا
test_sample_1576_clean,أده ف القاهره الأول في الكعني في الكالت
test_sample_3352_noisy,و صديق الوف
test_sample_1488_clean,عن ح مل حاد اللكات الإخوان ناخد خمسه و عشرين
test_sample_3728_noisy,
test_sample_1674_clean,فكل حظها معايا مش كويس إم
test_sample_3784_noisy,
test_sample_1047_clean,الي ضفي في الجراش خد لطياره ريس ستاشر
test_sample_3807_noisy,لالسلام عليكم 
test_sample_1392_clean,إنت بتضحك عل روحك يا منصور الوعد هو اللي بيشير اسمك بعد مكنور
test_sample_1459_clean,إم مكناش إحترفنا أوي كده إم يعني دلوقتي أنا قلبي مع سيسي لأنه يعني إحنا بقينا محترفين جدا
test_sample_990_clean,لكن مصر إم مصر ي حركه واحده كبيره تازم الآراء الرفيعه دي
test_sample_3921_noisy,يعني سوكان ميري مصر عارفين اللي أنا بقوله أنا ممكن عند مظلت في رلري
test_sample_2989_noisy,إيه بق يه
test_sample_3222_noisy,السعد ملس سكنيه عمره
test_sample_1142_clean,
test_sample_3002_noisy,أه مدس صراح
test_sample_1044_clean,سلامو عليقكم يا أبلوله
test_sample_1302_clean,ماشري بس المفروض برضو يا أبويا الطرد المفروض يلتها عل كده
test_sample_3608_noisy,تيجي بق عن الورق التانيه أنا محتاج وأنا في الاتحاد الأوروبي ورقي التأمين تأمين لا يقل عند تلاتين ألف و
test_sample_1143_clean,أكتر الناس يعني ال ال اللي إتشدمت من العظماء
test_sample_1110_clean,ده من المستازمني
test_sample_1237_clean,أه  هتلضهت عليا مش حته يا دينوبي
test_sample_3155_noisy,إسم الن
test_sample_3572_noisy,
test_sample_3489_noisy,فأنا دلوقتي أنا هروح دلوقتي معاهم ا هأشوف إيه عظام هناك هتكلمك ي
test_sample_1463_clean,يعني أكلمك عل المرأه المصريه دي أوقل من أعظم النساء في الدنيا  خلاص إم فتحمل ما لا يتحمل أحد
test_sample_3157_noisy,م
test_sample_3557_noisy,
test_sample_3511_noisy,يقولك عل حاجه ف
test_sample_3806_noisy,ن عليه
test_sample_1543_clean,وهي جانب بالفرن بتي في بطاطه والاأدره بعد الخبيث
test_sample_1452_clean,أنا هموت قابل واقفيه همر
test_sample_3730_noisy,حلو الكلام ركزوا يا جماعه و الله العظيم الكلام ده مهمه طيب خلاص أنا بق قعندت خمس تيام فروما وكتبت أنا هعمل إيه لخمس تيام فرونا
test_sample_3615_noisy,أزعل منك 
test_sample_1484_clean,يص سياسيه بحته بتهاجم بيها بتهجم بيها الأنظبه الحاكيمه ووكتبت سن تمانيه و تسعين ومعايا التسجيلات بتاعتها سن تمانيه وتسعين فأنا بجوليا يا يا خليج الأم العربيه تقلأ باسم لبك الذي خلق المسالح والمصايف والمقاعم والنساع
test_sample_3613_noisy,لو بنت ديتلك ديه و دخلت بيه عل مامتك
test_sample_1514_clean,مفوعه فيما بتكلم إنجلز
test_sample_3688_noisy,فضربتهم كده وتردي الأمن
test_sample_1612_clean,لأ بعنت بق عرفت لأ خلاص قولتله يا راجل الله خر بيتك يا قعد ده الحاجه ليه
test_sample_1059_clean,الكتاب ده المقدمه بتاعته كلها كلها الراجل بيدافع عن نفسه ضد الل فهموه بزندراي الأتيال وبتاع دخلت عليا أوض المكتب ياقتلي يا عشام يعجه كده برتي عم ما بتكلمني كده لقيتلي إيه حشام يا جخ هو إنت فاكر نفسك أحسن من أه راح سين
test_sample_3699_noisy,إنك مش راجع بيمنعك من صطف مفصوش الكلام ده
test_sample_3816_noisy,
test_sample_1184_clean,إيه ما ينفعش أقولولإنه مش عارف إينهني ماينفعش عيب إن أنا قبول إيه حققات تجرح يعني لما كنا بنقول عل جحه
test_sample_1375_clean,وليس السيسي وحسني مبارك و  كل انا
test_sample_1589_clean,أنا خميس يا أحمار
test_sample_3793_noisy,بجميع البهه  السباب حل بنا أي حاجه بتقدر تمام شهمن بناصلنا عل النري
test_sample_3447_noisy,في ناس ممكن تضمرك
test_sample_1030_clean,تلات خمسه و عشرين سن
test_sample_3384_noisy,لازم تشترك استناويا عليكم
test_sample_1654_clean,تطلب إيد وحده ميه
test_sample_3038_noisy,جيت امبارح لقيت أن واحد تانا قدام السينما
test_sample_1056_clean,
test_sample_2953_noisy,صع يعني هو بيخيار عافصت عل رجل شسرايب  طبعا لو إنت معاك إقامه ه خلاص في ناس النا معاه مر
test_sample_1347_clean,عندنا حضرتك اللواء عمر سليماه ربنا يرحمه  للصعيد عندكنا يعني عندنا حقيقه لو فضلت عد حضرتك عشان منساش حد يعني عندنا
test_sample_1665_clean,الكلام ده و لأ و إحنا لما كنا بنكتب عنا لما كنا بنعمل أفلام و لا لما كنا بنشتغل كنا عنا بناخد إذن عمر دوله
test_sample_3310_noisy,واحد ماشي عل الديري صاحبنا يقولك أنا ماشي متين وأربعين و العداد أثلر العربيه عدال لعربيه متين
test_sample_1321_clean, أول حاجه الفيدي سوله
test_sample_3040_noisy,بسم الله الرحمن الرحم السلام عليكم ورحم الله بركاتم أهلا وسهلا بيك برحب بيكم في ميديو وجي قاء جديد
test_sample_1080_clean,الشبه بكلهم إحنا هناخد الفرتتين دول عشان نعمل عليهم اختبار عل الشرب
test_sample_3500_noisy,ممكن يقولي مثلا تمشي عل طول في مين في شماء هو أصل ممكن يكون بيوصفلبيهت
test_sample_1097_clean,بخاض كيان صلاد
test_sample_1231_clean,الله رحت نإيد واحده
test_sample_1624_clean,في الجماعه بتاعتي عارف الزملكويه دولايه أه 
test_sample_1581_clean,
test_sample_3107_noisy,عايز أقولك أنا بشي كده في رمضان كده أنا بصحابي دور
test_sample_1689_clean,أنا مش شعر
test_sample_1668_clean,بك  هيم ربنا هيجيفه عيله وخاديك  بالك فيه يا بالك فيه ربنا وخليق الملات بالزايت ربعيت بي
test_sample_3629_noisy,ي خلاه
test_sample_3109_noisy,
test_sample_3754_noisy,الصوه كلها في إنك تدرس في ألمانيا حاجتين اللغه وكشف الحساب البنكي اكتشف لأحباب البنك لازم تاخط في البنك حداشر ألف ومتين يورو حساب بنك مغلك بيسمك في بنك في ألمانيا
test_sample_3849_noisy,إبنا مثلا
test_sample_3766_noisy,كان دهم مص ده 
test_sample_3474_noisy,كا
test_sample_3616_noisy,نحط فيها تمط مايه و الكلام ده لأ هو الفر دلوقتي اتورف زي ما إن إحنا فيه دلوقتي مبقيش حير البط الماطم 
test_sample_3074_noisy, إنت اللي مسافره مش الست الونده اللي مسافر اللي أخوه هو بيسمح أهوه
test_sample_1156_clean,أغل من عياله
test_sample_979_clean,العالم كله
test_sample_1515_clean,أربعين سنه
test_sample_3296_noisy,الوح
test_sample_3230_noisy,أنا في الإنسن دلوقتي
test_sample_3387_noisy,بعد نب أفري
test_sample_1315_clean,ده ديك خميس
test_sample_3694_noisy,إزاي 
test_sample_3819_noisy,نتمام حط الأطر هنا الساعه
test_sample_1418_clean,أنا بالنسبالي دي هي ملك الجمال ال هيتم ي حضرتك الست السحدها أستاذه من الست السعديه يا أستاذ مون اللي هي لما جوزها بيسافر أي دوله عربيه يعني أول ما بيطلع من البيت بتلبس تبعل الإسود وطرحتها السودا ومبتكون شباب ودجولك أنا و الله ما يعني تتكسف تلبس جلابيه ألواعن يقولك أنا عشان جوزي مساف
test_sample_3370_noisy,و إيه تسن صحاب بس و هي كتير جدا يعني و هتكتر إنت هتجيب كيس خليك معايا ركز معاها في الحته الجايه دي هتجيبكي زي م شاين كده و هتسيب جديده الفتحه ديت
test_sample_3204_noisy,عندهم بق سنوتش لأ بطاطس بالبابا غلنوم من أكترالحاجات اللي الناس بتوخمالك و الحاجما عامل إزاي
test_sample_3787_noisy,إزاي
test_sample_3799_noisy,
test_sample_1268_clean,وبعشكر كل واحد في الصعيد وفوجي باحري كل واحد عمل شارع وعمل لايكلفيد
